股票代码,股票名称,所属行业,概念板块,地区,总股本,流通股
sh603888,新华网,文化传媒,"创投,融资融券,大数据,在线教育,央国企改革,阿里概念,上证380,沪股通,人工智能,区块链,知识产权,超清视频,富时罗素,标准普尔,网红经济,虚拟数字人,AIGC概念,数据要素,多模态AI,Sora概念,AI语料",北京,674738168.0,674738168.0
sh603889,新澳股份,纺织服装,沪股通,浙江,730490943.0,720658743.0
sh603890,春秋电子,消费电子,"转债标的,预盈预增,融资融券,特斯拉,沪股通,富士康,华为概念,新能源车,F5G概念,小米汽车,AIPC,2025中报预增",江苏,439066035.0,439066035.0
sh603893,瑞芯微,半导体,"物联网,股权激励,预盈预增,融资融券,中证500,上证380,沪股通,虚拟现实,人工智能,MSCI中国,百度概念,华为概念,国产芯片,商汤概念,专精特新,EDR概念,百元股,AI芯片,2025中报预增",福建,420728550.0,420606050.0
sh603895,天永智能,专用设备,"预亏预减,锂电池,人工智能,数字孪生,标准普尔,新能源车,固态电池,华为汽车,钠离子电池,储能,专精特新,机器人概念,新型工业化",上海,108080000.0,108080000.0
sh603896,寿仙谷,中药,"转债标的,中药概念,沪股通,工业大麻",浙江,198243911.0,198243911.0
sh603897,长城科技,电网设备,"融资融券,沪股通,标准普尔,新能源车",浙江,206435681.0,206435681.0
sh603898,好莱客,装修建材,"预亏预减,智能家居,标准普尔,网红经济",广东,311345062.0,311345062.0
sh603899,晨光股份,家用轻工,"QFII重仓,股权激励,融资融券,中证500,上证380,沪股通,超级品牌,MSCI中国,富时罗素,标准普尔,茅指数,谷子经济",上海,920970377.0,920970377.0
sh603900,莱绅通灵,珠宝首饰,"黄金概念,预盈预增,新零售,内贸流通,2025中报扭亏",江苏,343023840.0,341508840.0
sh603901,永创智能,专用设备,"转债标的,股权激励,预亏预减,机器人概念",浙江,487673635.0,480207685.0
sh603903,中持股份,环保行业,"节能环保,预亏预减,PPP模式,雄安新区,微盘股",北京,255319480.0,255319480.0
sh603906,龙蟠科技,电池,"节能环保,AH股,预盈预增,锂电池,融资融券,沪股通,氢能源,尾气治理,固态电池,储能",江苏,685078903.0,565078903.0
sh603908,牧高笛,纺织服装,"融资融券,电商概念,体育产业,户外露营,微盘股",浙江,93366000.0,93366000.0
sh603909,建发合诚,工程咨询服务,"央国企改革,微盘股,房屋检测",福建,260673140.0,260673140.0
sh603912,佳力图,专用设备,"转债标的,预亏预减,华为概念,数据中心,专精特新,东数西算,液冷概念",江苏,541818152.0,541818152.0
sh603915,国茂股份,通用设备,"股权激励,融资融券,上证380,沪股通,机器人概念,减速器,机器人执行器",江苏,656632480.0,656632480.0
sh603916,苏博特,化学制品,"新材料,转债标的,融资融券,装配建筑,房屋检测,雅下水电概念",江苏,432614119.0,420314119.0
sh603917,合力科技,汽车零部件,"新能源车,汽车一体化压铸,2025中报预增",浙江,203840000.0,203840000.0
sh603918,金桥信息,互联网服务,"物联网,预盈预增,融资融券,在线教育,沪股通,人工智能,区块链,华为概念,数字孪生,智慧政务,远程办公,蚂蚁概念,化债(AMC)概念,信创,Web3.0,数据确权,DeepSeek概念",上海,366522926.0,366228626.0
sh603919,金徽酒,酿酒行业,"西部大开发,融资融券,上证380,沪股通,白酒",甘肃,507259997.0,507259997.0
sh603920,世运电路,电子元件,"融资融券,特斯拉,央国企改革,上证380,沪股通,OLED,PCB,储能,机器人概念,英伟达概念,低空经济,人形机器人",广东,720546867.0,720546867.0
sh603922,金鸿顺,汽车零部件,"预盈预增,新能源车,2025中报扭亏",江苏,179200000.0,179200000.0
sh603926,铁流股份,汽车零部件,新能源车,浙江,234716611.0,230838611.0
sh603927,中科软,软件开发,"预亏预减,云计算,融资融券,大数据,互联金融,网络安全,央国企改革,国产软件,中证500,上证380,沪股通,区块链,互联医疗,华为概念,富时罗素,数字货币,车联网(车路云),鸿蒙概念,跨境支付,信创,DeepSeek概念",北京,831040000.0,831040000.0
sh603928,兴业股份,塑料制品,"新材料,预盈预增,锂电池,3D打印,大飞机,光刻机(胶),半导体概念,专精特新,2025中报预增",江苏,262080000.0,262080000.0
sh603929,亚翔集成,装修装饰,"预盈预增,沪股通,OLED,富士康,华为概念,标准普尔,国产芯片,半导体概念,中芯概念",江苏,213360000.0,213360000.0
sh603931,格林达,电子化学品,"机构重仓,太阳能,沪股通,OLED,光刻机(胶),国产芯片,半导体概念",浙江,199558380.0,199558380.0
sh603933,睿能科技,半导体,"QFII重仓,机构重仓,无人机,ETC,半导体概念,机器人概念,PLC概念,人形机器人",福建,207544575.0,207544575.0
sh603936,博敏电子,电子元件,"军工,机构重仓,预盈预增,融资融券,智能穿戴,沪股通,5G概念,无人驾驶,小米概念,华为概念,PCB,新能源车,MiniLED,数据中心,第三代半导体,激光雷达,IGBT概念",广东,630398004.0,630398004.0
sh603937,丽岛新材,有色金属,"转债标的,预亏预减,锂电池,微盘股",江苏,208880925.0,208880925.0
sh603938,三孚股份,化学制品,"预亏预减,融资融券,沪股通,氢能源,半导体概念,有机硅,专精特新",河北,382624497.0,382624497.0
sh603939,益丰药房,医药商业,"转债标的,融资融券,电商概念,中证500,上证380,沪股通,MSCI中国,互联医疗,富时罗素,标准普尔,内贸流通",湖南,1212416854.0,1212194500.0
sh603948,建业股份,化学制品,"化工原料,新材料,太阳能,一带一路,知识产权,氮化镓,半导体概念,中俄贸易概念",浙江,162489167.0,162489167.0
sh603949,雪龙集团,汽车零部件,"军工,节能环保,新能源车,专精特新,汽车热管理",浙江,211136680.0,210205274.0
sh603950,长源东谷,汽车零部件,"基金重仓,预盈预增,沪股通,湖北自贸,专精特新,飞行汽车(eVTOL),低空经济,2025中报预增",湖北,324130800.0,323606800.0
sh603955,大千生态,工程建设,"股权激励,预亏预减,PPP模式,宠物经济,新型城镇化",江苏,135720000.0,135720000.0
sh603956,威派格,专用设备,"物联网,预盈预增,水利建设,人工智能,AI智能体,工业互联,乡村振兴,华为概念,专精特新,数字经济,净水概念,机器人概念,信创,ChatGPT概念,智谱AI,DeepSeek概念",上海,569906286.0,569906286.0
sh603958,哈森股份,纺织服装,"预盈预增,并购重组概念",江苏,219360000.0,219360000.0
sh603959,百利科技,工程咨询服务,"煤化工,预盈预增,锂电池,燃料电池,昨日触板,氢能源,标准普尔,新能源车,固态电池,微盘股",湖南,490298992.0,490298992.0
sh603960,克来机电,专用设备,"融资融券,沪股通,无人驾驶,氢能源,富时罗素,新能源车,华为汽车,专精特新,机器人概念",上海,262197900.0,262197900.0
sh603966,法兰泰克,专用设备,"一带一路,换电概念,专精特新,机器人概念",江苏,398700736.0,397722136.0
sh603967,中创物流,物流行业,"冷链物流,中俄贸易概念",山东,346666710.0,346666710.0
sh603968,醋化股份,化学制品,"机构重仓,预盈预增,代糖概念,微盘股,2025中报扭亏",江苏,204480000.0,204480000.0
sh603969,银龙股份,通用设备,"预盈预增,核能核电,铁路基建,融资融券,水利建设,沪股通,一带一路,雄安新区,碳基材料,2025中报预增",天津,857344000.0,842903000.0
sh603970,中农立华,农药兽药,"无人机,一带一路,内贸流通,供销社概念",北京,268800134.0,268800134.0
sh603976,正川股份,医疗器械,"转债标的,成渝特区,预亏预减,西部大开发,医疗器械概念,2025中报预减",重庆,151202102.0,151202102.0
sh603977,国泰集团,化学制品,"军工,稀缺资源,铁路基建,3D打印,央国企改革,小金属概念,沪股通,虚拟现实,军民融合,国产芯片,元宇宙概念,民爆概念,可控核聚变",江西,621241828.0,621241828.0
sh603978,深圳新星,有色金属,"军工,新材料,深圳特区,股权激励,预盈预增,锂电池,融资融券,氟化工,军民融合,PVDF概念,汽车一体化压铸",广东,211094299.0,211094299.0
sh603979,金诚信,采掘行业,"化工原料,转债标的,QFII重仓,黄金概念,预盈预增,融资融券,中证500,上证380,沪股通,一带一路,MSCI中国,磷化工,2025中报预增",北京,623777888.0,623777888.0
sh603980,吉华集团,化学制品,"化工原料,预盈预增,阿兹海默,2025中报预减",浙江,676833360.0,676833360.0
sh603982,泉峰汽车,汽车零部件,"机构重仓,股权激励,预盈预增,融资融券,特斯拉,华为概念,富时罗素,新能源车,华为汽车,汽车一体化压铸,轮毂电机,减速器,小米汽车",江苏,339553548.0,339553548.0
sh603983,丸美生物,美容护理,"沪股通,养老金,富时罗素,化妆品概念,合成生物",广东,401000000.0,401000000.0
sh603985,恒润股份,风电设备,"机构重仓,预盈预增,风能,融资融券,央国企改革,沪股通,OLED,东数西算,算力概念,英伟达概念,2025中报扭亏",江苏,440858003.0,440858003.0
sh603986,兆易创新,半导体,"HS300_,基金重仓,物联网,预盈预增,融资融券,央视50_,上证180_,智能穿戴,沪股通,人工智能,MSCI中国,超清视频,富时罗素,标准普尔,国产芯片,无线耳机,传感器,半导体概念,汽车芯片,百元股,存储芯片",北京,664059190.0,663716019.0
sh603987,康德莱,医疗器械,"股权激励,医疗器械概念,医疗美容",上海,436790880.0,436790880.0
sh603988,中电电机,电机,"预盈预增,太阳能,风能,沪股通,2025中报扭亏",江苏,235200000.0,235200000.0
sh603989,艾华集团,电子元件,"军工,节能环保,融资融券,充电桩,上证380,沪股通,养老金,华为概念,富时罗素,标准普尔,被动元件",湖南,401130603.0,401130603.0
sh603990,麦迪科技,软件开发,"预盈预增,融资融券,央国企改革,国产软件,人工智能,互联医疗,华为概念,辅助生殖,机器人概念,低空经济,并购重组概念,人形机器人,DeepSeek概念,2025中报扭亏",江苏,306282731.0,306282731.0
sh603991,至正股份,塑料制品,"新材料,QFII重仓,预亏预减,核能核电,5G概念,半导体概念,并购重组概念",广东,74534998.0,74534998.0
sh603992,松霖科技,装修建材,"转债标的,预亏预减,智能家居,沪股通,C2M概念,机器人概念,2025中报预减",福建,432895283.0,424751283.0
sh603993,洛阳钼业,小金属,"AH股,HS300_,稀缺资源,黄金概念,预盈预增,融资融券,上证50_,上证180_,小金属概念,沪股通,MSCI中国,富时罗素,标准普尔,磷化工,2025中报预增",河南,21394310176.0,17460842176.0
sh603995,甬金股份,钢铁行业,"新材料,转债标的,QFII重仓,机构重仓,预盈预增,融资融券,沪股通,专精特新",浙江,365617601.0,365617601.0
sh603997,继峰股份,汽车零部件,"转债标的,基金重仓,预盈预增,融资融券,特斯拉,沪股通,养老金,标准普尔,2025中报预增",浙江,1268012438.0,1268012438.0
sh603998,方盛制药,中药,"中药概念,养老概念,婴童概念,工业大麻,化妆品概念,创新药",湖南,439081360.0,439081360.0
sh603999,读者传媒,文化传媒,"参股券商,西部大开发,参股新三板,参股保险,央国企改革,知识产权,快手概念",甘肃,576000000.0,576000000.0
sh605001,威奥股份,交运设备,"新材料,预盈预增,铁路基建,养老概念",山东,392886000.0,392886000.0
sh605003,众望布艺,纺织服装,"抗菌面料,微盘股",浙江,110000000.0,110000000.0
sh605005,合兴股份,汽车零部件,"沪股通,新能源车",浙江,401000000.0,401000000.0
sh605006,山东玻纤,玻璃玻纤,"转债标的,预盈预增,风能,央国企改革,2025中报扭亏",山东,610959502.0,600009302.0
sh605007,五洲特纸,造纸印刷,"转债标的,沪股通",浙江,476900681.0,401549828.0
sh605008,长鸿高科,塑料制品,"节能环保,新材料,预亏预减,长江三角,沪股通,降解塑料,2025中报预减",浙江,645962414.0,642380414.0
sh605009,豪悦护理,美容护理,"养老概念,婴童概念,电商概念,医疗器械概念,上证380,沪股通,消毒剂,宠物经济",浙江,215067640.0,214619640.0
sh605011,杭州热电,公用事业,"节能环保,太阳能,融资融券,央国企改革,沪股通,绿色电力",浙江,400100000.0,400100000.0
sh605016,百龙创园,食品饮料,"沪股通,代糖概念,专精特新",山东,420012320.0,420012320.0
sh605018,长华集团,汽车零部件,"机构重仓,特斯拉,沪股通,养老金,新能源车,储能,机器人概念,汽车一体化压铸,小米汽车,飞行汽车(eVTOL),低空经济,人形机器人",浙江,471225793.0,470065793.0
sh605020,永和股份,化学制品,"转债标的,预盈预增,融资融券,氟化工,沪股通,环氧丙烷,PVDF概念,液冷概念,2025中报预增",浙江,470490376.0,379121955.0
sh605028,世茂能源,电力行业,"节能环保,垃圾分类,绿色电力",浙江,160000000.0,160000000.0
sh605033,美邦股份,农药兽药,西部大开发,陕西,135200000.0,135200000.0
sh605050,福然德,物流行业,"沪股通,新能源车,汽车一体化压铸",上海,492829181.0,492829181.0
sh605055,迎丰股份,纺织服装,预亏预减,浙江,440000000.0,440000000.0
sh605056,咸亨国际,仪器仪表,"预盈预增,电商概念,无人机,沪股通,人工智能,储能,机器人概念,低空经济,2025中报预增",浙江,410367240.0,406673240.0
sh605058,澳弘电子,电子元件,"一带一路,工业互联,PCB,新能源车,卫星互联网,商业航天,新型工业化",江苏,142923950.0,142923950.0
sh605060,联德股份,通用设备,"物联网,风能,数据中心,专精特新",浙江,240592000.0,240592000.0
sh605066,天正电气,电网设备,"机构重仓,智能电网,充电桩,百度概念,数据中心",浙江,506617875.0,502433125.0
sh605068,明新旭腾,汽车零部件,"转债标的,预亏预减,华为汽车",浙江,162140136.0,162140136.0
sh605069,正和生态,环保行业,"节能环保,预盈预增,水利建设,乡村振兴,元宇宙概念,土壤修复,新型城镇化,微盘股,智谱AI,2025中报扭亏",北京,211697778.0,84161278.0
sh605077,华康股份,食品饮料,"转债标的,沪股通,代糖概念,合成生物",浙江,303048234.0,299427734.0
sh605080,浙江自然,纺织服装,"体育产业,户外露营",浙江,141573040.0,140351200.0
sh605081,*ST太和,环保行业,"节能环保,ST股,预亏预减,雄安新区",上海,113247072.0,113247072.0
sh605086,龙高股份,采掘行业,"稀缺资源,QFII重仓,央国企改革,沪股通",福建,179200000.0,179200000.0
sh605088,冠盛股份,汽车零部件,"沪股通,贬值受益,新能源车,固态电池,华为汽车",浙江,202818693.0,199715253.0
sh605089,味知香,食品饮料,"冷链物流,预制菜概念",江苏,138000000.0,138000000.0
sh605090,九丰能源,燃气,"新材料,转债标的,锂电池,融资融券,油气设服,上证380,沪股通,养老金,天然气,冷链物流,氢能源,半导体概念,氦气概念,商业航天,工业气体,绿色电力,低空经济,DeepSeek概念",江西,665883067.0,664314681.0
sh605098,行动教育,教育,"创投,在线教育,沪股通,职业教育",上海,119251100.0,119251100.0
sh605099,共创草坪,家用轻工,"沪股通,体育产业,贬值受益",江苏,401642000.0,400090000.0
sh605100,华丰股份,通用设备,"预亏预减,数据中心,固态电池,发电机概念,2025中报预减",山东,171132000.0,169932000.0
sh605108,同庆楼,旅游酒店,"预亏预减,沪股通,内贸流通,预制菜概念",安徽,260000000.0,260000000.0
sh605111,新洁能,半导体,"物联网,太阳能,融资融券,充电桩,上证380,沪股通,无人驾驶,国产芯片,新能源车,半导体概念,第三代半导体,汽车芯片,碳化硅,专精特新,IGBT概念,机器人概念,算力概念",江苏,415332567.0,415332567.0
sh605116,奥锐特,化学制药,"转债标的,沪股通,辅助生殖,专精特新,减肥药,合成生物",浙江,406195234.0,397511234.0
sh605117,德业股份,光伏设备,"HS300_,预盈预增,太阳能,融资融券,上证180_,沪股通,MSCI中国,国产芯片,储能",浙江,904446704.0,904446704.0
sh605118,力鼎光电,光学光电子,"预盈预增,国家安防,无人机,沪股通,虚拟现实,无人驾驶,专精特新,AI眼镜,2025中报预增",福建,410684000.0,407116000.0
sh605122,四方新材,水泥建材,"预亏预减,西部大开发,铁路基建,装配建筑,微盘股",重庆,172354000.0,172354000.0
sh605123,派克新材,通用设备,"军工,核能核电,风能,融资融券,上证380,沪股通,大飞机,商业航天,专精特新",江苏,121170892.0,121170892.0
sh605128,上海沿浦,汽车零部件,"沪股通,华为汽车",上海,211138706.0,211138706.0
sh605133,嵘泰股份,汽车零部件,"特斯拉,沪股通,新能源车,工业母机",江苏,282806592.0,240394071.0
sh605136,丽人丽妆,商业百货,"创投,预亏预减,电商概念,阿里概念,新零售,化妆品概念,内贸流通,预制菜概念,跨境电商,小红书概念",上海,400458500.0,400458500.0
sh605138,盛泰集团,纺织服装,"转债标的,预盈预增",浙江,555563735.0,555563735.0
sh605151,西上海,汽车零部件,"预亏预减,新能源车,统一大市场,微盘股",上海,134554222.0,134554222.0
sh605155,西大门,家用轻工,"新材料,股权激励,电商概念,智能家居,一带一路,贬值受益,中俄贸易概念,建筑节能,户外露营,跨境电商,抗菌面料,微盘股",浙江,191298100.0,189934500.0
sh605158,华达新材,钢铁行业,"新材料,预亏预减,一带一路,2025中报预减",浙江,511420000.0,511420000.0
sh605162,新中港,公用事业,"转债标的,储能",浙江,400532847.0,400532847.0
sh605166,聚合顺,化学制品,"新材料,转债标的,预盈预增,专精特新",浙江,314726498.0,314726498.0
sh605167,利柏特,专用设备,"转债标的,核能核电,一带一路,氢能源,专精特新,中俄贸易概念",江苏,449070000.0,449070000.0
sh605168,三人行,文化传媒,"参股券商,西部大开发,融资融券,大数据,无人机,上证380,沪股通,人工智能,富时罗素,NFT概念,元宇宙概念,虚拟数字人,数字经济,Web3.0,AIGC概念,ChatGPT概念,数据要素",陕西,210816986.0,210816986.0
sh605169,洪通燃气,燃气,"节能环保,西部大开发,昨日涨停,天然气,昨日涨停_含一字",新疆,282880000.0,282880000.0
sh605177,东亚药业,化学制药,"转债标的,预亏预减,病毒防治,超级真菌,微盘股,合成生物",浙江,114739776.0,112583673.0
sh605178,时空科技,装修装饰,"QFII重仓,物联网,预盈预增,智慧城市,智慧灯杆,微盘股",北京,99251600.0,99251600.0
sh605179,一鸣食品,食品饮料,"沪股通,冷链物流,乳业,代糖概念",浙江,401000000.0,401000000.0
sh605180,华生科技,纺织服装,"预盈预增,超级电容,户外露营,微盘股",浙江,169000000.0,169000000.0
sh605183,确成股份,橡胶制品,"QFII重仓,机构重仓,沪股通,养老金,专精特新",江苏,415883145.0,412429445.0
sh605186,健麾信息,医疗服务,"预亏预减,鸿蒙概念,机器人概念,2025中报预减",上海,136000000.0,136000000.0
sh605188,国光连锁,商业百货,"机构重仓,电商概念,新零售,内贸流通",江西,501351500.0,501351500.0
sh605189,富春染织,纺织服装,"转债标的,预亏预减,昨日涨停,昨日涨停_含一字,PEEK材料概念,2025中报预减",安徽,194076105.0,194076105.0
sh605196,华通线缆,电网设备,"太阳能,沪股通,贬值受益,工业互联,中俄贸易概念",河北,511002781.0,504400781.0
sh605198,XD安德利,食品饮料,"节能环保,AH股,预盈预增,沪股通,2025中报预增",山东,341200000.0,250536000.0
sh605199,ST葫芦娃,中药,"ST股,预亏预减,中药概念,婴童概念,医疗器械概念,病毒防治,独家药品,流感,专精特新,幽门螺杆菌概念,肝炎概念,创新药,海南自贸,2025中报预减",海南,400108752.0,400108752.0
sh605208,永茂泰,汽车零部件,"QFII重仓,融资融券,减速器",上海,329940000.0,329940000.0
sh605218,伟时电子,光学光电子,"物联网,医疗器械概念,虚拟现实,OLED,MiniLED,电子后视镜,裸眼3D",江苏,212833460.0,212833460.0
sh605222,起帆电缆,电网设备,"军工,转债标的,预亏预减,核能核电,特斯拉,充电桩,上证380,沪股通,大飞机",上海,412901024.0,412901024.0
sh605228,神通科技,汽车零部件,"转债标的,预盈预增,特斯拉,无人驾驶,新能源车,毫米波概念,2025中报预增",浙江,429368410.0,426365410.0
sh605255,天普股份,汽车零部件,"机构重仓,燃料电池,新能源车",浙江,134080000.0,134080000.0
sh605258,协和电子,电子元件,"预盈预增,PCB",江苏,88000000.0,88000000.0
sh605259,绿田机械,通用设备,"预盈预增,发电机概念,2025中报预增",浙江,172480000.0,172480000.0
sh605266,健之佳,医药商业,"预亏预减,西部大开发,参股保险,内贸流通",云南,154542928.0,154542928.0
sh605268,王力安防,家用轻工,"预盈预增,国家安防,智能家居",浙江,446302500.0,437696250.0
sh605277,新亚电子,消费电子,"太阳能,充电桩,沪股通,5G概念,华为概念,新能源车,F5G概念,机器人概念,铜缆高速连接",浙江,324297261.0,313982369.0
sh605286,同力日升,专用设备,"新能源,风能,沪股通,一带一路,人工智能,数据中心,储能,东数西算",江苏,168000000.0,168000000.0
sh605287,德才股份,装修装饰,"预亏预减,虚拟现实,新型城镇化,微盘股",山东,140000000.0,140000000.0
sh605288,凯迪股份,专用设备,"机构重仓,物联网,养老概念,智能家居,新能源车",江苏,70198912.0,70198912.0
sh605289,罗曼股份,装修装饰,"预盈预增,智慧城市,新能源车,元宇宙概念,混合现实,空间计算,2025中报预增",上海,109007500.0,108337500.0
sh605296,神农集团,农牧饲渔,"预盈预增,西部大开发,沪股通,猪肉概念,2025中报预增",云南,524839012.0,524564418.0
sh605298,必得科技,交运设备,"QFII重仓,机构重仓,预盈预增,铁路基建,专精特新,2025中报预增",江苏,187850000.0,184652000.0
sh605299,舒华体育,家用轻工,"体育产业,华为概念",福建,409226523.0,409226523.0
sh605300,佳禾食品,食品饮料,"QFII重仓,预亏预减,沪股通,代糖概念,娃哈哈概念,2025中报预减",江苏,454398597.0,400010000.0
sh605303,园林股份,工程建设,"节能环保,预亏预减,PPP模式,雄安新区,新型城镇化,微盘股",浙江,161237408.0,161237408.0
sh605305,中际联合,风电设备,"QFII重仓,预盈预增,风能,融资融券,沪股通,工程机械概念,专精特新,2025中报预增",北京,212520000.0,212520000.0
sh605318,法狮龙,装修装饰,"QFII重仓,机构重仓,预盈预增,智能家居",浙江,125729028.0,125729028.0
sh605319,无锡振华,汽车零部件,"转债标的,预盈预增,特斯拉,沪股通,新能源车,半导体概念,小米汽车",江苏,250061583.0,213681583.0
sh605333,沪光股份,汽车零部件,"预盈预增,上证380,沪股通,新能源车,华为汽车",江苏,436776081.0,436776081.0
sh605336,帅丰电器,家电行业,"预亏预减,2025中报预减",浙江,183412450.0,183412450.0
sh605337,李子园,食品饮料,"转债标的,电商概念,乳业",浙江,390101844.0,390101844.0
sh605338,巴比食品,食品饮料,"电商概念,养老金,宠物经济",上海,239566662.0,239566662.0
sh605339,南侨食品,食品饮料,"预亏预减,沪股通,乳业,2025中报预减",上海,424290616.0,424290616.0
sh605358,立昂微,半导体,"转债标的,物联网,预亏预减,智能电网,融资融券,充电桩,中证500,沪股通,5G概念,人工智能,国产芯片,新能源车,氮化镓,半导体概念,中芯概念,第三代半导体,汽车芯片,专精特新,IGBT概念",浙江,671365928.0,671365928.0
sh605365,立达信,家电行业,"物联网,预亏预减,LED,智能家居,沪股通,贬值受益,国产芯片,传感器,鸿蒙概念,植物照明,2025中报预减",福建,502012876.0,502012876.0
sh605366,宏柏新材,化学制品,"新材料,转债标的,预亏预减,融资融券,有机硅",江西,632332672.0,632332672.0
sh605368,蓝天燃气,燃气,"转债标的,沪股通,养老金,天然气",河南,714634963.0,714634963.0
sh605369,拱东医疗,医疗器械,"预盈预增,医疗器械概念,病毒防治,沪股通,体外诊断",浙江,220492949.0,220492949.0
sh605376,博迁新材,小金属,"新材料,预盈预增,锂电池,融资融券,3D打印,小金属概念,超级电容,沪股通,MLCC,专精特新,2025中报预增",江苏,261600000.0,261600000.0
sh605377,华旺科技,造纸印刷,沪股通,浙江,556670268.0,556670268.0
sh605378,野马电池,电池,"预亏预减,锂电池,工业互联,2025中报预减",浙江,261346400.0,261346400.0
sh605388,均瑶健康,食品饮料,"预亏预减,婴童概念,乳业,幽门螺杆菌概念,2025中报预减",湖北,600484000.0,600484000.0
sh605389,长龄液压,工程机械,"太阳能,工程机械概念,专精特新,减速器",江苏,144087070.0,136266760.0
sh605398,新炬网络,互联网服务,"预亏预减,大数据,国产软件,人工智能,百度概念,华为概念,数据中心,信创,MLOps概念,数据要素,2025中报预减",上海,162716379.0,162716379.0
sh605399,晨光新材,化学制品,"新材料,预亏预减,融资融券,有机硅,专精特新",江西,312241328.0,311557328.0
sh605488,福莱新材,塑料制品,"节能环保,新材料,转债标的,机构重仓,智能穿戴,苹果概念,沪股通,一带一路,华为概念,传感器,降解塑料,无线充电,专精特新,机器人概念,AI手机",浙江,280207477.0,277345877.0
sh605499,东鹏饮料,食品饮料,"HS300_,融资融券,上证180_,沪股通,MSCI中国,新零售,百元股",广东,520013000.0,520013000.0
sh605500,森林包装,造纸印刷,"预亏预减,2025中报预减",浙江,414400000.0,414400000.0
sh605507,国邦医药,化学制药,"沪股通,宠物经济,幽门螺杆菌概念,合成生物",浙江,558823500.0,301722186.0
sh605555,德昌股份,家电行业,"沪股通,无人驾驶,贬值受益,新能源车,机器人概念,人形机器人",浙江,484069040.0,484069040.0
sh605566,福莱蒽特,化学制品,太阳能,浙江,133340000.0,133340000.0
sh605567,春雪食品,食品饮料,"预盈预增,电商概念,新零售,冷链物流,人造肉,鸡肉概念,网红经济,预制菜概念,中俄贸易概念,微盘股,2025中报扭亏",山东,200000000.0,200000000.0
sh605577,龙版传媒,文化传媒,"在线教育,央国企改革,沪股通",黑龙江,444444445.0,444444445.0
sh605580,恒盛能源,电力行业,"氢能源,培育钻石,绿色电力",浙江,280000000.0,280000000.0
sh605588,冠石科技,半导体,"预亏预减,苹果概念,小米概念,OLED,华为概念,光刻机(胶),半导体概念,柔性屏(折叠屏)",江苏,73468201.0,73099561.0
sh605589,圣泉集团,化学制品,"军工,节能环保,新材料,QFII重仓,机构重仓,预盈预增,锂电池,融资融券,石墨烯,3D打印,国产软件,中证500,超级电容,上证380,沪股通,氢能源,PCB,光刻机(胶),代糖概念,商业航天,建筑节能,抗菌面料,2025中报预增",山东,846401998.0,780893300.0
sh605598,上海港湾,工程建设,"军工,沪股通,一带一路,商业航天",上海,244584809.0,243016809.0
sh605599,菜百股份,珠宝首饰,"黄金概念,电商概念,央国企改革,沪股通",北京,777777800.0,777777800.0
sh688001,华兴源创,专用设备,"转债标的,机构重仓,预亏预减,融资融券,特斯拉,苹果概念,沪股通,5G概念,OLED,国产芯片,无线耳机",江苏,445377843.0,445377843.0
sh688002,睿创微纳,半导体,"军工,转债标的,基金重仓,股权激励,融资融券,国家安防,中证500,无人机,上证380,沪股通,军民融合,富时罗素,国产芯片,传感器,卫星互联网,机器人概念,科创板做市股",山东,456962515.0,456962515.0
sh688003,天准科技,通用设备,"股权激励,融资融券,苹果概念,沪股通,人工智能,无人驾驶,边缘计算,PCB,半导体概念,车联网(车路云),机器视觉,专精特新,机器人概念,英伟达概念",江苏,194136500.0,194136500.0
sh688004,博汇科技,互联网服务,"机构重仓,预盈预增,云计算,融资融券,大数据,在线教育,国产软件,人工智能,区块链,影视概念,华为概念,超清视频,数字孪生,职业教育,数据安全,信创,微盘股,Sora概念",北京,80088000.0,80088000.0
sh688005,容百科技,电池,"锂电池,融资融券,小金属概念,上证380,沪股通,新能源车,固态电池,钠离子电池",浙江,714725470.0,465080406.0
sh688006,杭可科技,电池,"股权激励,预亏预减,锂电池,融资融券,上证380,沪股通,富时罗素,固态电池,科创板做市股",浙江,603672152.0,603672152.0
sh688007,光峰科技,消费电子,"深圳特区,融资融券,沪股通,虚拟现实,小米概念,华为汽车,机器人概念,AI眼镜",广东,459291145.0,459291145.0
sh688008,澜起科技,半导体,"HS300_,基金重仓,预盈预增,云计算,融资融券,上证50_,上证180_,沪股通,人工智能,贬值受益,MSCI中国,富时罗素,国产芯片,中芯概念,数据安全,AI芯片,算力概念,存储芯片,AIPC,2025中报预增",上海,1144789273.0,1144789273.0
sh688009,中国通号,交运设备,"AH股,HS300_,中字头,铁路基建,融资融券,上证180_,北斗导航,央国企改革,沪股通,一带一路,MSCI中国,华为概念,富时罗素,国产芯片,车联网(车路云),科创板做市股,中特估,低空经济",北京,10589819000.0,8621018000.0
sh688010,福光股份,光学光电子,"军工,预盈预增,融资融券,国家安防,沪股通,军民融合,区块链,华为概念,超清视频,商业航天,专精特新",福建,160561578.0,160561578.0
sh688011,新光光电,光学光电子,"军工,预亏预减,融资融券,国家安防,军民融合,专精特新",黑龙江,100000000.0,100000000.0
sh688012,中微公司,半导体,"HS300_,基金重仓,机构重仓,股权激励,LED,长江三角,融资融券,上证50_,上证180_,沪股通,MSCI中国,区块链,富时罗素,国产芯片,半导体概念,中芯概念,宁组合,百元股,科创板做市股,高带宽内存",上海,626145307.0,626145307.0
